"",ML1,ML2
Hypertension,0,0.644
Obesity,0,0.634
Disorders_of_lipid_metabolism,0,0.384
Thyroid_disorders,0,0.35
Miscellaneous_mental_health_disorders,0,0.303
Adictions,0.622,0
Alcohol-related_disorders,0.559,0
Allergic_rhinitis,0,0
Anxiety_disorders,0.588,0
Asthma,0,0
Depression_and_Mood_disorders,0.503,0
Esophageal_disorders,0,0
Headache__including_migraine,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0
Hepatitis,0.575,0
Inflammatory_conditions_of_male_genital_organs,0,0
Other_male_genital_disorders,0,0
Sexual_disorders,0,0
Vision_defects,0,0
