"",ML2,ML1,ML3
Hypertension,0,0.998,0
Sexual_disorders,0,0.436,0.332
Disorders_of_lipid_metabolism,0,0.368,0
Hepatitis,0,0,0.591
Alcohol-related_disorders,0,0,0.508
Adictions,0.353,0,0.416
Allergic_rhinitis,0.301,0,0
Anxiety_disorders,0.556,0,0
Asthma,0,0,0
Depression_and_Mood_disorders,0.719,0,0
Esophageal_disorders,0,0,0
Headache__including_migraine,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0
Miscellaneous_mental_health_disorders,0,0,0
Obesity,0,0,0
Other_male_genital_disorders,0,0,0
Thyroid_disorders,0,0,0
Vision_defects,0.345,0,0
