"",ML8,ML1,ML3,ML6,ML7,ML2,ML4,ML5
Hypertension,0,0.959,0,0,0,0,0,0
Sexual_disorders,0,0.415,0,0,0.432,0,0,0
Allergic_rhinitis,0,0,0.987,0,0,0,0,0
Adictions,0,0,0,0.968,0,0,0,0
Hepatitis,0,0,0,0,0.792,0,0,0
Alcohol-related_disorders,0.343,0,0,0,0.379,0,0,0
Headache__including_migraine,0,0,0,0,0.318,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0.982,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.385,0,0,0,0,0.336,0,0
Thyroid_disorders,0,0,0,0,0,0,0.99,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0.977
Anxiety_disorders,0.469,0,0,0,0,0,0,0
Asthma,0.352,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.59,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.413,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0
