"",ML6,ML5,ML3,ML2,ML7,ML4,ML9,ML1,ML8
Anxiety_disorders,0,0.986,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0.318,0,0,0.376,0,0,0,0
Allergic_rhinitis,0,0,0.984,0,0,0,0,0,0
Adictions,0,0,0,0.964,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0.303,0,0,0.458,0,0
Hepatitis,0,0,0,0,0.728,0,0,0,0
Sexual_disorders,0.4,0,0,0,0.447,0,0,0,0
Headache__including_migraine,0,0,0,0,0.318,0,0.456,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0.982,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0.555,0,0
Vision_defects,0,0,0,0,0,0,0.35,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0.346,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0.974,0
Asthma,0,0,0,0,0,0,0,0,0.631
Esophageal_disorders,0,0,0,0,0,0,0,0,0
Hypertension,0.962,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0
