"",ML3,ML4,ML1,ML2,ML5
Miscellaneous_mental_health_disorders,0,0.675,0,0,0
Headache__including_migraine,0,0.585,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.472,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.303,0,0,0
Disorders_of_lipid_metabolism,0,0,1,0,0
Hypertension,0,0,0.341,0,0.373
Allergic_rhinitis,0,0,0,0.999,0
Obesity,0,0,0,0,0.542
Adictions,0.876,0,0,0,0
Anxiety_disorders,0.485,0,0,0,0
Asthma,0,0,0,0,0
Depression_and_Mood_disorders,0.504,0,0,0,0
Hepatitis,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0
Vision_defects,0,0,0,0,0
