"",ML5,ML2,ML3,ML1,ML4,ML6,ML7
Allergic_rhinitis,0,0.992,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0.991,0,0,0,0
Hypertension,0,0,0,0.965,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.977,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0.676,0
Headache__including_migraine,0,0,0,0,0,0.529,0.305
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0.399,0
Hepatitis,0,0,0,0,0,0,0.742
Adictions,0.722,0,0,0,0,0,0
Anxiety_disorders,0.535,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.653,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
