"",ML11,ML12,ML10,ML8,ML4,ML9,ML3,ML2,ML7,ML1,ML5,ML6
Osteoporosis,0,0.509,0,0,0,0,0,0,0,0,0,0
Acquired_foot_deformities,0,0.489,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0.463,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0.433,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.331,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.313,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.922,0,0,0,0,0,0,0,0,0
Obesity,0,0,0.375,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0.975,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0.978,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.947,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0.976,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0.338,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0.991,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0,0,0,0.999,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0.951,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0,0,0,0,0.992,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0.984
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.384,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.307,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.514,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.523,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.583,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.372,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0.303,0,0,0,0,0,0,0,0,0,0,0
