"",ML12,ML13,ML1,ML9,ML11,ML4,ML3,ML10,ML8,ML2,ML7,ML5,ML6
Acquired_foot_deformities,0,0.622,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.513,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0.437,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.367,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.888,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0.415,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0.981,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0.948,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0.97,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0.971,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0.331,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0.945,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0.988,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0.973,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0.99,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0,0,0,0,0,0.992,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0.981
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.453,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.339,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.391,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.433,0,0,0,0,0,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0.311,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.531,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.42,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.372,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0
