"",ML3,ML1,ML2
Diabetes,0,1.007,0
Obesity,0,0.474,0
Hypertension,0,0.429,0
Disorders_of_lipid_metabolism,0.393,0.321,0
Other_non-traumatic_joint_disorders,0,0,0.998
Acquired_foot_deformities,0.441,0,0
Adjustment_disorders,0.348,0,0
Allergic_rhinitis,0,0,0
Anxiety_disorders,0.487,0,0
Asthma,0,0,0
Atopic_dermatitis,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.364,0,0
Depression_and_Mood_disorders,0.492,0,0
Esophageal_disorders,0.438,0,0
Glaucoma,0,0,0
Headache__including_migraine,0.418,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.348,0,0
Irritable_bowel_and_other_GI_disorders,0.334,0,0
Menopausal_disorders,0.587,0,0
Menstrual_disorders,0.408,0,0
Miscellaneous_mental_health_disorders,0.399,0,0
Myodesopsia_and_other_eye_disorders,0.502,0,0
Neuropathy_and_other_nervous_system_disorders,0.416,0,0
Nonmalignant_breast_conditions,0,0,0
Osteoarthritis,0.449,0,0
Osteoporosis,0.371,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0
Psoriasis_and_other_inflammatory,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.58,0,0
Thyroid_disorders,0.359,0,0
Urinary_incontinence,0.33,0,0
Vision_defects,0.422,0,0
