"",ML4,ML1,ML3,ML2
Diabetes,0,1.001,0,0
Obesity,0,0.485,0,0
Hypertension,0,0.43,0,0
Disorders_of_lipid_metabolism,0.4,0.332,0,0
Atopic_dermatitis,0,0,0.976,0
Other_non-traumatic_joint_disorders,0,0,0,0.998
Neuropathy_and_other_nervous_system_disorders,0.377,0,0,0.301
Acquired_foot_deformities,0.415,0,0,0
Adjustment_disorders,0,0,0,0
Allergic_rhinitis,0,0,0,0
Anxiety_disorders,0.506,0,0,0
Asthma,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.314,0,0,0
Depression_and_Mood_disorders,0.471,0,0,0
Esophageal_disorders,0.441,0,0,0
Glaucoma,0,0,0,0
Headache__including_migraine,0.394,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.331,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0
Menopausal_disorders,0.589,0,0,0
Menstrual_disorders,0.387,0,0,0
Miscellaneous_mental_health_disorders,0.382,0,0,0
Myodesopsia_and_other_eye_disorders,0.483,0,0,0
Nonmalignant_breast_conditions,0,0,0,0
Osteoarthritis,0.418,0,0,0
Osteoporosis,0.334,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.566,0,0,0
Thyroid_disorders,0.317,0,0,0
Urinary_incontinence,0.465,0,0,0
Vision_defects,0.434,0,0,0
