"",ML6,ML7,ML3,ML1,ML4,ML5,ML2
Osteoarthritis,0,0.641,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.474,0,0,0,0,0
Acquired_foot_deformities,0,0.45,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0.427,0,0.318,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.388,0,0,0,0,0
Diabetes,0,0,0.992,0,0,0,0
Obesity,0,0,0.494,0,0,0,0
Hypertension,0,0,0.441,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0.349,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.968,0,0,0
Atopic_dermatitis,0,0,0,0,0.954,0,0
Osteoporosis,0,0,0,0,0,0.985,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0.984
Adjustment_disorders,0,0,0,0,0,0,0
Allergic_rhinitis,0.324,0,0,0,0,0,0
Anxiety_disorders,0.535,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.339,0,0,0,0,0,0
Esophageal_disorders,0.317,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0
Headache__including_migraine,0.497,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0,0,0,0
Menstrual_disorders,0.665,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.502,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0.341,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
Urinary_incontinence,0.336,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
