"",ML8,ML7,ML2,ML5,ML6,ML1,ML3,ML4,ML9,ML10
Diabetes,0,0.961,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.319,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,1.005,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0.989,0,0,0,0,0,0
Hypertension,0,0,0,0,0.961,0,0,0,0,0
Obesity,0,0,0,0,0,0.97,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0.994,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0.997,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0.716,0
Menopausal_disorders,0,0,0,0,0,0,0,0,0.392,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0.439
Vision_defects,0,0,0,0,0,0,0,0,0,0.398
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.356,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.581,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.494,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.523,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0
