"",ML8,ML7,ML10,ML9,ML5,ML1,ML6,ML2,ML3,ML4
Congestive_heart_failure__nonhypertensive,0,0.933,0,0,0,0,0,0,0,0
Hypertension,0,0.62,0,0,0.3,0,0,0,0,0
Obesity,0,0.394,0,0,0,0,0,0,0,0
Neoplasms,0,0.388,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0.511,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.48,0,0,0,0,0,0,0
Menstrual_disorders,0,0,0.459,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.396,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0.377,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0.37,0,0,0,0,0,0,0
Hepatitis,0,0,0,0.785,0,0,0,0,0,0
Adictions,0,0,0,0.683,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.377,0,0,0,0,0,0
Asthma,0,0,0,0.308,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.991,0,0,0,0,0
Osteoarthritis,0,0,0,0,0.358,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.856,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0.479,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.461,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0.969,0,0,0
Cataract,0,0,0,0,0,0,0.302,0,0,0
Glaucoma,0,0,0,0,0,0,0,0.985,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0.951,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0.993
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.519,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.383,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0.305,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.714,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.448,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0
