"",ML13,ML11,ML3,ML8,ML12,ML2,ML10,ML5,ML7,ML9,ML6,ML1,ML4
Congestive_heart_failure__nonhypertensive,0,0.891,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0.591,0.3,0,0,0,0,0,0,0,0,0,0
Obesity,0,0.391,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0.368,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.99,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0.341,0,0,0.3,0,0,0,0,0,0,0
Adictions,0,0,0,0.946,0,0,0,0,0,0,0,0,0
Hepatitis,0,0,0,0.494,0,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0.947,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0.387,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0.984,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0.919,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0.959,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,1.004,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0.317,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0,0.946,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.652,0,0,0,0,0,0,0,0,0.323,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0,0.926,0,0
Menstrual_disorders,0,0,0,0,0,0,0,0,0,0,0.4,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0.797,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0.409,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0.947
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0.361
Anxiety_disorders,0.331,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.568,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.416,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.371,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.312,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.343,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.34,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.365,0,0,0,0,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.412,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0
