"",ML14,ML8,ML12,ML11,ML6,ML10,ML13,ML7,ML9,ML2,ML4,ML3,ML1,ML5
Cardiac_dysrhythmias,0,0.988,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0.383,0,0,0.344,0,0,0,0,0,0,0,0,0
Hypertension,0,0.309,0,0.565,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0.874,0,0,0,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0.506,0,0,0,0,0.323,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.464,0,0,0,0,0,0,0,0,0.301,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.866,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0.366,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.317,0,0,0,0.36,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
Adictions,0,0,0,0,0,0.949,0,0,0,0,0,0,0,0
Hepatitis,0,0,0,0,0,0.479,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0.915,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0.975,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0.976,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0.381,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0,0.996,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0,0,0,0.923,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0,0,0,0.923,0
Menstrual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.381,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0
