"",ML15,ML13,ML8,ML9,ML14,ML7,ML11,ML6,ML3,ML5,ML2,ML12,ML1,ML4,ML10
Cardiac_dysrhythmias,0,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0.399,0,0,0,0.32,0,0,0,0,0.314,0,0,0,0
Hypertension,0,0.315,0,0,0.546,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0.884,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0.505,0,0,0,0,0.315,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.399,0,0,0,0,0,0,0,0,0,0,0.35,0
Esophageal_disorders,0,0,0.327,0,0,0,0,0,0.385,0,0,0,0,0,0
Adictions,0,0,0,0.949,0,0,0,0,0,0,0,0,0,0,0
Hepatitis,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0.863,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.991,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.321,0,0,0,0,0.354,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0.913,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0.973,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0.972,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0.956,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0.935,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0,0,0,0.924,0,0
Menstrual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.391,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
