"",ML11,ML14,ML16,ML7,ML1,ML6,ML9,ML13,ML2,ML12,ML3,ML5,ML10,ML15,ML8,ML4
Congestive_heart_failure__nonhypertensive,0,0.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.331,0.312,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.302,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,1.017,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.384,0,0,0.341,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0.844,0,0,0,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0.477,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0.341,0,0,0,0,0,0.369,0,0,0,0,0
Cataract,0,0,0,0,0,0.991,0,0,0,0,0,0,0,0,0,0
Adictions,0,0,0,0,0,0,0.907,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0.301,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0.893,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0.937,0,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0.964,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.988,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983,0
Hepatitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
