"",ML1,ML2
Hepatic_steatosis_and_other_liver_diseases,0,0.77
Adictions,0,0.651
Alcohol-related_disorders,0,0.639
Hepatitis,0,0.537
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.506
Epilepsy__convulsions,0,0.485
Depression_and_Mood_disorders,0,0.406
Coagulation_and_hemorrhagic_disorders,0,0.361
Anxiety_disorders,0.398,0.332
Acquired_foot_deformities,0,0
Adjustment_disorders,0,0
Allergic_rhinitis,0.337,0
Asthma,0,0
Atopic_dermatitis,0,0
Cardiac_dysrhythmias,0.351,0
Cataract,0,0
Congestive_heart_failure__nonhypertensive,0.357,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0
Diabetes,0.499,0
Disorders_of_lipid_metabolism,0.598,0
Esophageal_disorders,0,0
Glaucoma,0.329,0
Headache__including_migraine,0.522,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0
Hypertension,0.522,0
Menopausal_disorders,0.46,0
Menstrual_disorders,0.341,0
Miscellaneous_mental_health_disorders,0.459,0
Neoplasms,0,0
Neuropathy_and_other_nervous_system_disorders,0,0
Nonmalignant_breast_conditions,0,0
Obesity,0.488,0
Osteoarthritis,0.464,0
Osteoporosis,0.308,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.332,0
Thyroid_disorders,0.397,0
Urinary_incontinence,0.403,0
Vision_defects,0.306,0
