"",ML4,ML11,ML8,ML1,ML7,ML9,ML12,ML10,ML5,ML3,ML2,ML6
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.863,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0.453,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.306,0.388,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0.352,0,0,0,0,0,0.34,0,0,0,0
Adictions,0,0,1.005,0,0,0,0,0,0,0,0,0
Hepatitis,0,0,0.417,0,0,0,0,0.307,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0.97,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0.433,0,0,0.451,0,0,0,0,0
Diabetes,0,0,0,0,1.008,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.338,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.962,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.384,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0.493,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0.487,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0.339,0,0.341,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0.338,0,0,0,0,0
Menstrual_disorders,0,0,0,0,0,0,0.337,0,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0.93,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0.986,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0.995,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0.984,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0.97
Asthma,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.396,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.976,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.348,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0
