"",ML4,ML3,ML1,ML2
Hepatic_steatosis_and_other_liver_diseases,0,0.69,0,0
Adictions,0,0.66,0,0
Alcohol-related_disorders,0,0.648,0,0
Hepatitis,0,0.645,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.596,0,0
Depression_and_Mood_disorders,0,0.43,0,0
Anxiety_disorders,0.406,0.34,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.987,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.36,0
Acquired_foot_deformities,0,0,0,0.974
Adjustment_disorders,0,0,0,0
Allergic_rhinitis,0.365,0,0,0
Asthma,0,0,0,0
Diabetes,0.555,0,0,0
Disorders_of_lipid_metabolism,0.555,0,0,0
Esophageal_disorders,0,0,0,0
Headache__including_migraine,0.525,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.311,0,0,0
Hypertension,0.548,0,0,0
Menopausal_disorders,0.414,0,0,0
Menstrual_disorders,0.331,0,0,0
Miscellaneous_mental_health_disorders,0.534,0,0,0
Neoplasms,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0
Obesity,0.424,0,0,0
Osteoarthritis,0.303,0,0,0
Osteoporosis,0,0,0,0
Thyroid_disorders,0.357,0,0,0
Urinary_incontinence,0.305,0,0,0
Vision_defects,0.411,0,0,0
