"",ML5,ML6,ML3,ML2,ML1,ML4
Adictions,0,0.675,0,0,0,0
Alcohol-related_disorders,0,0.65,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0.633,0,0,0,0
Hepatitis,0,0.62,0,0,0,0
Depression_and_Mood_disorders,0,0.329,0,0,0,0
Anxiety_disorders,0.396,0.326,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.933,0,0,0
Osteoporosis,0,0,0.346,0,0,0.302
Thyroid_disorders,0.368,0,0.344,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.992,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.36,0,0
Osteoarthritis,0,0,0,0.301,0,0
Acquired_foot_deformities,0,0,0,0,0.965,0
Neoplasms,0,0,0,0,0,0.981
Adjustment_disorders,0,0,0,0,0,0
Allergic_rhinitis,0.328,0,0,0,0,0
Asthma,0,0,0,0,0,0
Diabetes,0.511,0,0,0,0,0
Disorders_of_lipid_metabolism,0.557,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0
Headache__including_migraine,0.536,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Hypertension,0.524,0,0,0,0,0
Menopausal_disorders,0.375,0,0,0,0,0
Menstrual_disorders,0.324,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.642,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0
Obesity,0.415,0,0,0,0,0
Urinary_incontinence,0.305,0,0,0,0,0
Vision_defects,0.38,0,0,0,0,0
