"",ML6,ML7,ML5,ML1,ML3,ML2,ML4
Adictions,0,0.607,0,0,0,0,0
Anxiety_disorders,0,0.472,0,0,0,0,0
Depression_and_Mood_disorders,0,0.411,0,0,0,0,0
Headache__including_migraine,0.316,0.403,0,0,0,0,0
Hepatitis,0,0.395,0.309,0,0,0,0
Miscellaneous_mental_health_disorders,0.382,0.381,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.343,0,0,0,0,0
Asthma,0,0.34,0,0,0,0,0
Alcohol-related_disorders,0,0.324,0.455,0,0,0,0
Menopausal_disorders,0,0.324,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0.991,0,0,0,0
Esophageal_disorders,0,0,0.357,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.948,0,0,0
Osteoporosis,0,0,0,0.318,0,0.303,0
Thyroid_disorders,0.428,0,0,0.306,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0.988,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0.365,0,0
Osteoarthritis,0,0,0,0,0.304,0,0
Acquired_foot_deformities,0,0,0,0,0,0.96,0
Neoplasms,0,0,0,0,0,0,0.976
Adjustment_disorders,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0
Diabetes,0.553,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.617,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Hypertension,0.651,0,0,0,0,0,0
Menstrual_disorders,0,0,0,0,0,0,0
Obesity,0.343,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
