"",ML8,ML7,ML3,ML6,ML1,ML2,ML5,ML4
Neoplasms,0,0.59,0,0,0,0,0,0
Diabetes,0,0.549,0,0,0,0,0,0
Hypertension,0,0.509,0,0,0,0,0,0
Osteoporosis,0,0.491,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.389,0,0,0,0,0,0
Thyroid_disorders,0,0.344,0,0.345,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.991,0,0,0,0,0
Headache__including_migraine,0.36,0,0.31,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.938,0,0,0,0
Asthma,0,0,0,0.317,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0.98,0,0,0
Alcohol-related_disorders,0.309,0,0,0,0.452,0,0,0
Esophageal_disorders,0.424,0,0,0,0.344,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.993,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.375,0,0
Osteoarthritis,0,0,0,0,0,0.303,0,0
Adictions,0,0,0,0,0,0,0.988,0
Hepatitis,0,0,0,0,0,0,0.448,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0.955
Adjustment_disorders,0,0,0,0,0,0,0,0
Allergic_rhinitis,0.588,0,0,0,0,0,0,0
Anxiety_disorders,0.393,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0,0,0,0,0
Menstrual_disorders,0.514,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0
Vision_defects,0.404,0,0,0,0,0,0,0
