"",ML8,ML9,ML3,ML4,ML6,ML5,ML7,ML1,ML2,ML10
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.666,0,0,0,0,0,0,0,0
Cataract,0,0.524,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0.463,0,0,0,0,0.31,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.356,0.338,0,0,0.307,0,0,0,0
Osteoarthritis,0,0.334,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.957,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.523,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.441,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0.371,0,0.384,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.948,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.396,0,0,0.38,0,0,0,0,0,0
Acquired_foot_deformities,0.318,0,0,0.346,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0.95,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0.333,0,0,0,0,0.325
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.959,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0.355,0,0,0,0
Heart_valve_disorders,0,0,0,0,0,0.331,0,0,0,0
Hypertension,0,0,0,0,0,0,0.865,0,0,0
Allergic_rhinitis,0.356,0,0,0,0,0,0.316,0,0,0
Diabetes,0,0,0,0,0,0,0,0.911,0,0
Obesity,0,0,0,0,0,0,0,0.349,0,0.399
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0.986,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0.462
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.545,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.379,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.304,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.398,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.66,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.573,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.417,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0
