"",ML11,ML7,ML1,ML12,ML10,ML2,ML8,ML3,ML9,ML6,ML4,ML5
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0.952,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0.423,0,0,0,0,0,0,0.351,0,0,0
Myodesopsia_and_other_eye_disorders,0.375,0.401,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0,0.309,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.952,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.522,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.461,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.345,0,0,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0.561,0,0.303,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.819,0,0,0,0,0,0,0,0
Cataract,0,0,0,0.564,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0.339,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0.338,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0.857,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0.38,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.328,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0.306,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0.991,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0.48,0,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0.984,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0.881,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0.325,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.985,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.406,0,0,0,0,0,0,0,0,0.305,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0.979,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0.992
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0.487,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.316,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.508,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.349,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.587,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.404,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.41,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0
