"",ML13,ML12,ML3,ML1,ML10,ML9,ML11,ML8,ML7,ML6,ML2,ML5,ML4
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.812,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0.594,0,0,0,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0.353,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0.324,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0.312,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0.951,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.367,0,0.386,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.374,0,0,0,0,0,0,0,0.325,0,0
Atopic_dermatitis,0,0,0.338,0,0,0.348,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.927,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.576,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.32,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0.995,0,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0.948,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0.394,0,0,0,0,0,0,0
Menopausal_disorders,0.43,0,0,0,0,0.386,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.367,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0.74,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0,0.564,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.493,0,0,0,0,0,0,0.426,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0.965,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.974,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0.305,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0.854,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0.998,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0,0.968
Acquired_foot_deformities,0.642,0,0,0,0,0,0,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.391,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.514,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0
