"",ML17,ML7,ML1,ML5,ML14,ML12,ML13,ML16,ML4,ML11,ML8,ML15,ML2,ML3,ML9,ML10,ML6
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,1.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.907,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0.315,0,0,0,0,0.314,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0.931,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0.326,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0,0,0.886,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0,0,0.381,0,0,0,0.385,0,0,0.324,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0,0,0,0.881,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.364,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0,0,0
Menopausal_disorders,0.394,0,0,0,0,0,0,0,0.384,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.966,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.317,0,0,0,0,0,0,0,0,0.319,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0,0,0,0,0,0.805,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,0,0,0
Obesity,0.358,0,0,0,0,0,0,0,0,0,0,0,0.319,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306
Acquired_foot_deformities,0.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
