"",ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.73,0
Chronic_ulcer_of_skin,0,0.636,0.338
Diabetes,0,0.529,0
Urinary_incontinence,0,0.525,0
Cardiac_dysrhythmias,0,0.522,0
Ischemic_heart_disease,0,0.489,0
Hypertension,0,0.483,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.48,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0.406,0
Coagulation_and_hemorrhagic_disorders,0,0.404,0
Chronic_kidney_disease,0,0.364,0
Cataract,0,0.362,0
Obesity,0.309,0.315,0
Irritable_bowel_and_other_GI_disorders,0,0,0.995
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.36
Depression_and_Mood_disorders,0.413,0,0.339
Menopausal_disorders,0.549,0,0.338
Acquired_foot_deformities,0.461,0,0
Acute_cerebrovascular_disease,0,0,0
Adjustment_disorders,0,0,0
Allergic_rhinitis,0,0,0
Anxiety_disorders,0.42,0,0
Asthma,0,0,0
Atopic_dermatitis,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0
Disorders_of_lipid_metabolism,0.404,0,0
Diverticulosis_and_diverticulitis,0.34,0,0
Esophageal_disorders,0,0,0
Glaucoma,0,0,0
Headache__including_migraine,0.533,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.459,0,0
Heart_valve_disorders,0,0,0
Menstrual_disorders,0.443,0,0
Miscellaneous_mental_health_disorders,0.52,0,0
Myodesopsia_and_other_eye_disorders,0.46,0,0
Neuropathy_and_other_nervous_system_disorders,0.416,0,0
Osteoarthritis,0.392,0,0
Osteoporosis,0.317,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0
Psoriasis_and_other_inflammatory,0,0,0
Transient_cerebral_ischemia,0,0,0
Vision_defects,0.423,0,0
