"",ML5,ML7,ML6,ML3,ML1,ML2,ML4
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.557,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0.534,0,0,0,0,0
Obesity,0,0.53,0,0,0,0,0.355
Cataract,0,0.484,0,0,0,0,0
Osteoarthritis,0,0.368,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.344,0.307,0,0,0.346,0
Disorders_of_lipid_metabolism,0,0.307,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.805,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.548,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0.414,0,0.523,0,0,0,0
Urinary_incontinence,0,0,0.493,0,0,0,0
Acute_cerebrovascular_disease,0,0,0.329,0,0,0,0
Depression_and_Mood_disorders,0.446,0,0.32,0,0,0,0
Ischemic_heart_disease,0,0,0,0.981,0,0,0
Chronic_kidney_disease,0,0,0,0.354,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0.944,0,0
Myodesopsia_and_other_eye_disorders,0.483,0,0,0,0.321,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.97,0
Heart_valve_disorders,0,0,0,0,0,0.326,0
Cardiac_dysrhythmias,0,0,0,0,0,0.316,0
Diabetes,0,0,0,0,0,0,0.951
Hypertension,0,0,0,0,0,0,0.401
Acquired_foot_deformities,0.453,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0
Allergic_rhinitis,0.375,0,0,0,0,0,0
Anxiety_disorders,0.376,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.404,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0
Headache__including_migraine,0.346,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.342,0,0,0,0,0,0
Menopausal_disorders,0.683,0,0,0,0,0,0
Menstrual_disorders,0.483,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.303,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.369,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0
Vision_defects,0.342,0,0,0,0,0,0
