"",ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.802
Chronic_ulcer_of_skin,0,0.643
Cardiac_dysrhythmias,0,0.517
Urinary_incontinence,0,0.484
Ischemic_heart_disease,0,0.477
Coagulation_and_hemorrhagic_disorders,0,0.473
Hypertension,0,0.463
Diabetes,0,0.446
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.444
Chronic_kidney_disease,0,0.395
Cataract,0,0.322
Obesity,0.303,0.315
Acquired_foot_deformities,0.492,0
Acute_cerebrovascular_disease,0,0
Adjustment_disorders,0,0
Allergic_rhinitis,0.303,0
Anxiety_disorders,0.437,0
Asthma,0,0
Atopic_dermatitis,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0
Depression_and_Mood_disorders,0.453,0
Disorders_of_lipid_metabolism,0.4,0
Diverticulosis_and_diverticulitis,0.356,0
Esophageal_disorders,0,0
Glaucoma,0,0
Headache__including_migraine,0.519,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.458,0
Menopausal_disorders,0.555,0
Menstrual_disorders,0.466,0
Miscellaneous_mental_health_disorders,0.524,0
Myodesopsia_and_other_eye_disorders,0.462,0
Neuropathy_and_other_nervous_system_disorders,0.464,0
Osteoarthritis,0.382,0
Osteoporosis,0.312,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0
Vision_defects,0.414,0
