"",ML4,ML5,ML1,ML2,ML3
Cataract,0,0.576,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.506,0,0,0.326
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.494,0,0,0
Ischemic_heart_disease,0,0.436,0,0,0
Chronic_kidney_disease,0,0.431,0,0,0
Headache__including_migraine,0,0.419,0,0,0
Obesity,0,0.404,0,0.324,0
Miscellaneous_mental_health_disorders,0.308,0.379,0,0,0
Disorders_of_lipid_metabolism,0,0.371,0,0,0
Osteoarthritis,0,0.361,0,0,0
Osteoporosis,0,0.325,0,0,0
Asthma,0,0.315,0,0,0
Hypertension,0,0.3,0,0.406,0
Chronic_ulcer_of_skin,0,0,0.974,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.58,0,0
Urinary_incontinence,0,0,0.484,0,0
Diabetes,0,0,0,0.997,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0.987
Cardiac_dysrhythmias,0,0,0,0,0.35
Acquired_foot_deformities,0.576,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0
Allergic_rhinitis,0.35,0,0,0,0
Anxiety_disorders,0.471,0,0,0,0
Atopic_dermatitis,0,0,0,0,0
Depression_and_Mood_disorders,0.385,0,0,0,0
Diverticulosis_and_diverticulitis,0.346,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Glaucoma,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.329,0,0,0,0
Menopausal_disorders,0.648,0,0,0,0
Menstrual_disorders,0.533,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.517,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.377,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0
Vision_defects,0.338,0,0,0,0
