"",ML6,ML3,ML5,ML4,ML2,ML1
Ischemic_heart_disease,0,0.97,0,0,0,0
Chronic_kidney_disease,0,0.336,0.376,0,0,0
Glaucoma,0,0.315,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.898,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.323,0,0,0
Obesity,0,0,0.316,0,0.319,0
Chronic_ulcer_of_skin,0,0,0,0.946,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.304,0,0,0.538,0,0
Urinary_incontinence,0,0,0,0.468,0,0
Diabetes,0,0,0,0,0.988,0
Hypertension,0,0,0,0,0.399,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.953
Cardiac_dysrhythmias,0,0,0,0,0,0.308
Acquired_foot_deformities,0.476,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0
Anxiety_disorders,0.468,0,0,0,0,0
Asthma,0,0,0,0,0,0
Atopic_dermatitis,0.309,0,0,0,0,0
Cataract,0,0,0,0,0,0
Depression_and_Mood_disorders,0.556,0,0,0,0,0
Disorders_of_lipid_metabolism,0.347,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0
Esophageal_disorders,0.382,0,0,0,0,0
Headache__including_migraine,0.406,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.485,0,0,0,0,0
Menopausal_disorders,0.547,0,0,0,0,0
Menstrual_disorders,0.346,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.464,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.487,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.342,0,0,0,0,0
Osteoarthritis,0.36,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.345,0,0,0,0,0
Vision_defects,0.473,0,0,0,0,0
