"",ML9,ML8,ML6,ML7,ML3,ML5,ML4,ML1,ML2
Congestive_heart_failure__nonhypertensive,0,0.832,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.411,0,0,0,0,0,0,0
Obesity,0,0.405,0,0.374,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.949,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.537,0,0,0,0,0,0
Urinary_incontinence,0,0,0.475,0,0,0,0,0,0
Hypertension,0,0,0,0.936,0,0,0,0,0
Diabetes,0,0,0,0.462,0,0,0,0,0
Allergic_rhinitis,0,0,0,0.309,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0.937,0,0,0,0
Cataract,0,0,0,0,0.314,0,0.363,0,0
Menstrual_disorders,0,0,0,0,0,0.992,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0.985,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0.947,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0.366,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0.97
Acquired_foot_deformities,0.538,0,0,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.494,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0.401,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.403,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.313,0,0,0,0,0,0,0,0
Esophageal_disorders,0.353,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.464,0,0,0,0,0,0,0,0
Menopausal_disorders,0.485,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.434,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.39,0,0,0,0,0,0,0,0
Osteoarthritis,0.33,0,0,0,0,0,0,0,0
Osteoporosis,0.354,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.328,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0
