"",ML10,ML9,ML4,ML7,ML8,ML6,ML2,ML5,ML3,ML1
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.88,0,0,0,0,0,0,0,0
Glaucoma,0,0.464,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.969,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.335,0,0,0,0,0,0,0
Cataract,0,0,0.313,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0.954,0,0,0,0,0,0
Vision_defects,0,0,0,0.406,0,0,0.353,0,0,0
Thyroid_disorders,0,0,0,0.338,0,0,0,0,0,0.359
Congestive_heart_failure__nonhypertensive,0,0,0,0,0.819,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0.449,0,0,0,0.304,0
Cardiac_dysrhythmias,0,0,0,0,0,0.955,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0.399,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0.324,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.314,0,0,0,0.668
Diverticulosis_and_diverticulitis,0.367,0,0,0,0,0.314,0,0,0,0
Asthma,0,0,0,0,0,0,0.941,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0.983,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.302,0,0.445
Adjustment_disorders,0,0,0,0,0,0,0,0,0.941,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0.363
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0
Diseases_of_white_blood_cells,0.724,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.435,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0.744,0,0,0,0,0,0,0,0,0
