"",ML4,ML8,ML11,ML9,ML7,ML1,ML2,ML5,ML6,ML10,ML3
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.801,0,0,0,0,0.344,0,0,0,0
Glaucoma,0,0.509,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.359,0.418,0,0,0,0,0,0,0,0
Diseases_of_white_blood_cells,0,0.343,0.53,0,0,0,0,0,0,0,0
Vision_defects,0,0.311,0,0.443,0,0,0.331,0,0,0,0
Osteoporosis,0,0,0.866,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0.322,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0.944,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0.338,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.966,0,0,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0.423,0,0,0,0,0.34,0
Coagulation_and_hemorrhagic_disorders,0.355,0,0,0,0.418,0,0,0,0,0,0
Heart_valve_disorders,0,0,0,0,0,0.78,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0.615,0,0,0,0,0
Asthma,0,0,0,0,0,0,0.963,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0.983,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0.98,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0.319,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0,0,0,0.691,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0.429,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0.952
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0.988,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0
