"",ML5,ML13,ML12,ML6,ML3,ML10,ML11,ML9,ML8,ML2,ML7,ML4,ML1
Diseases_of_white_blood_cells,0,0.79,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0.641,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.439,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0.425,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.937,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.459,0,0,0,0,0,0,0,0.341,0,0
Diverticulosis_and_diverticulitis,0,0,0,0.979,0,0,0,0,0,0,0,0,0
Heart_valve_disorders,0.326,0,0,0.404,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.304,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0.954,0,0,0,0,0,0,0,0
Vision_defects,0.481,0,0,0,0.331,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0.301,0.845,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0.411,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0.678,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0.619,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0.369,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0.978,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0.965,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0.946,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0.904,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0.35,0,0.303
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0,0,0,0.979,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0,0.662
Chronic_kidney_disease,0.958,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.368,0,0,0,0,0,0,0,0,0,0,0,0
