"",ML2,ML1
Asthma,0,1.005
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.338,0.55
Vision_defects,0,0.426
Depression_and_Mood_disorders,0,0.345
Acquired_foot_deformities,0,0
Adjustment_disorders,0,0
Allergic_rhinitis,0,0
Anxiety_disorders,0,0
Cardiac_dysrhythmias,0.522,0
Cataract,0.359,0
Chronic_kidney_disease,0.607,0
Chronic_ulcer_of_skin,0.443,0
Coagulation_and_hemorrhagic_disorders,0.681,0
Congestive_heart_failure__nonhypertensive,0.562,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.504,0
Diabetes,0,0
Diseases_of_white_blood_cells,0,0
Disorders_of_lipid_metabolism,0,0
Diverticulosis_and_diverticulitis,0.353,0
Glaucoma,0.521,0
Headache__including_migraine,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.381,0
Heart_valve_disorders,0.734,0
Hypertension,0.386,0
Osteoporosis,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0
Thyroid_disorders,0.328,0
Urinary_incontinence,0.518,0
