"",ML5,ML7,ML1,ML3,ML4,ML6,ML2
Osteoporosis,0,0.869,0,0,0,0,0
Diseases_of_white_blood_cells,0.338,0.514,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.329,0.364,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.325,0,0,0.308,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.956,0,0,0,0
Heart_valve_disorders,0,0,0.375,0,0,0.303,0
Chronic_ulcer_of_skin,0,0,0,0.984,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0.343,0.417,0,0
Urinary_incontinence,0,0,0,0.32,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.979,0,0
Acquired_foot_deformities,0,0,0,0,0.42,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0.349,0,0
Chronic_kidney_disease,0,0,0,0,0,0.934,0
Vision_defects,0,0,0,0,0,0.408,0.372
Thyroid_disorders,0,0,0,0,0,0.384,0
Asthma,0,0,0,0,0,0,0.953
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.856,0,0,0,0,0,0.328
Adjustment_disorders,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.387,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0
Glaucoma,0.584,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0
