"",ML9,ML6,ML8,ML4,ML7,ML5,ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.901,0,0,0,0,0,0,0
Urinary_incontinence,0,0.389,0,0.311,0,0,0,0,0
Anxiety_disorders,0,0.378,0,0,0,0,0.449,0,0
Heart_valve_disorders,0.318,0.355,0,0,0,0,0,0,0.365
Hypertension,0,0.326,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.884,0,0,0,0,0,0
Glaucoma,0,0,0.445,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.963,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0.937,0,0,0,0
Vision_defects,0,0,0,0,0.408,0,0,0.357,0
Thyroid_disorders,0,0,0,0,0.337,0,0,0,0.368
Cardiac_dysrhythmias,0,0,0,0,0,0.955,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0.383,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0.323,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.31,0,0,0.675
Diverticulosis_and_diverticulitis,0.399,0,0,0,0,0.307,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0.979,0,0
Asthma,0,0,0,0,0,0,0,0.938,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0.428
Cataract,0.383,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0
Diseases_of_white_blood_cells,0.712,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.461,0,0,0,0,0,0,0,0
Osteoporosis,0.707,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0
