"",ML11,ML10,ML1,ML5,ML9,ML8,ML3,ML6,ML4,ML7,ML2,ML12
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.887,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0.445,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0.346,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.341,0.506,0,0,0.39,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.971,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.347,0,0.419,0,0,0,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0.972,0,0,0,0,0,0,0,0
Anxiety_disorders,0.506,0,0,0.417,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0.372,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0.973,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0.323,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0.922,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0.906,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,1.008,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0.996,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0.952,0,0
Cataract,0,0,0,0,0,0,0,0,0,0,0.959,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0.598
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0.484
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.876,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.364,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0
