"",ML4,ML3,ML2,ML1
Coagulation_and_hemorrhagic_disorders,0,0.934,0,0
Cardiac_dysrhythmias,0,0.671,0,0
Chronic_ulcer_of_skin,0,0.463,0,0
Chronic_kidney_disease,0,0.384,0,0
Thyroid_disorders,0,0.374,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.993,0
Asthma,0,0,0.582,0
Vision_defects,0,0,0.5,0
Glaucoma,0,0,0.349,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.944
Urinary_incontinence,0,0,0,0.317
Acquired_foot_deformities,0,0,0,0
Adjustment_disorders,0.43,0,0,0
Allergic_rhinitis,0,0,0,0
Anxiety_disorders,0.422,0,0,0
Cataract,0.33,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.345,0,0,0
Depression_and_Mood_disorders,0.324,0,0,0
Diabetes,0,0,0,0
Disorders_of_lipid_metabolism,0.595,0,0,0
Diverticulosis_and_diverticulitis,0.311,0,0,0
Headache__including_migraine,0.307,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.367,0,0,0
Hypertension,0.352,0,0,0
Osteoporosis,0.569,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.327,0,0,0
