"",ML5,ML1,ML3,ML4,ML2
Coagulation_and_hemorrhagic_disorders,0,0.914,0,0,0
Cardiac_dysrhythmias,0,0.662,0,0,0
Chronic_ulcer_of_skin,0,0.518,0,0,0
Thyroid_disorders,0,0.394,0,0,0
Chronic_kidney_disease,0,0.388,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.998,0,0
Asthma,0,0,0.58,0,0
Vision_defects,0,0,0.505,0,0
Glaucoma,0,0,0.349,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.942,0
Urinary_incontinence,0,0,0,0.33,0
Hypertension,0.335,0,0,0.313,0
Allergic_rhinitis,0,0,0,0,0.993
Anxiety_disorders,0.386,0,0,0,0.381
Acquired_foot_deformities,0,0,0,0,0
Adjustment_disorders,0.464,0,0,0,0
Cataract,0.325,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.366,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0
Diabetes,0.307,0,0,0,0
Disorders_of_lipid_metabolism,0.555,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.378,0,0,0,0
Osteoporosis,0.534,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.428,0,0,0,0
