"",ML3,ML6,ML1,ML5,ML4,ML2
Disorders_of_lipid_metabolism,0,0.661,0,0,0,0
Osteoporosis,0,0.517,0,0,0,0
Cataract,0,0.487,0,0.326,0,0
Diverticulosis_and_diverticulitis,0,0.426,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.374,0,0,0,0
Headache__including_migraine,0,0.32,0,0,0,0
Depression_and_Mood_disorders,0,0.317,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.883,0,0,0
Cardiac_dysrhythmias,0,0,0.68,0,0,0
Chronic_kidney_disease,0,0,0.442,0,0,0
Allergic_rhinitis,0,0,0.34,0,0,0.32
Chronic_ulcer_of_skin,0,0,0,0.949,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.324,0,0
Urinary_incontinence,0,0,0,0.315,0.418,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0.901,0
Anxiety_disorders,0,0,0,0,0.359,0.431
Hypertension,0,0,0,0,0.328,0
Adjustment_disorders,0,0,0,0,0,0.973
Acquired_foot_deformities,0,0,0,0,0,0
Asthma,0.557,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.988,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0
Glaucoma,0.335,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0.487,0,0,0,0,0
