"",ML7,ML8,ML1,ML5,ML3,ML6,ML2,ML4
Cataract,0,0.607,0,0,0,0.315,0,0
Disorders_of_lipid_metabolism,0,0.536,0,0,0,0,0,0
Osteoporosis,0,0.45,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.435,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0.379,0,0,0,0,0,0
Headache__including_migraine,0,0.372,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.317,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.3,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.908,0,0,0,0,0
Urinary_incontinence,0,0,0.444,0,0,0.311,0,0
Anxiety_disorders,0,0,0.41,0,0.349,0,0,0.302
Hypertension,0,0,0.397,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.905,0,0,0,0
Glaucoma,0,0,0,0.474,0,0,0,0
Vision_defects,0,0,0,0.379,0,0,0,0
Adjustment_disorders,0,0,0,0,0.971,0,0,0
Diabetes,0,0,0,0,0.339,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0.915,0,0
Asthma,0,0,0,0,0,0,0.935,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.975
Acquired_foot_deformities,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.752,0,0,0,0,0,0,0
Chronic_kidney_disease,0.491,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.834,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0
Thyroid_disorders,0.342,0,0,0,0,0,0,0
