"",ML12,ML13,ML7,ML6,ML5,ML9,ML10,ML1,ML11,ML4,ML3,ML2,ML8
Sexual_disorders,0,0.522,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.434,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0.398,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0.379,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.355,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0.345,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.335,0,0,0,0,0,0,0.336,0,0,0,0
Esophageal_disorders,0,0.332,0,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0.309,0,0.328,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0.948,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.431,0.345,0,0,0,0,0,0,0,0,0
Cataract,0,0,0.363,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,1.006,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0.958,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0.53,0,0,0,0,0,0,0,0
Urinary_incontinence,0.316,0,0,0,0.426,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0.976,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0.984,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0.918,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0.427,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0,0,0.93,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0.318,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0.984,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0.336,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0.964,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0.934,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0.99
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.461,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduction_disorders,0.694,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.405,0,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.305,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0
