"",ML14,ML18,ML4,ML6,ML13,ML15,ML10,ML17,ML5,ML11,ML3,ML12,ML16,ML7,ML9,ML2,ML1,ML8
Conduction_disorders,0,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.412,0,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0
Allergic_rhinitis,0,0.318,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0.394,0,0,0.328,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.338,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0.986,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0.943,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0.965,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0.961,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0.951,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,1.002,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.657,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
