"",ML1,ML2
Menstrual_disorders,0,0.71
Anxiety_disorders,0,0.544
Dyspareunia,0,0.489
Thyroid_disorders,0,0.373
Miscellaneous_mental_health_disorders,0,0.363
Nonmalignant_breast_conditions,0,0.363
Depression_and_Mood_disorders,0,0.359
Allergic_rhinitis,0,0.31
Asthma,0,0
Atopic_dermatitis,0,0
Disorders_of_lipid_metabolism,0.462,0
Esophageal_disorders,0,0
Female_infertility,0,0
Headache__including_migraine,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0
Hypertension,0.679,0
Neuropathy_and_other_nervous_system_disorders,0.627,0
Obesity,0.61,0
Other_acquired_deformities,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0
Psoriasis_and_other_inflammatory,0,0
Urinary_incontinence,0.781,0
Vision_defects,0,0
