"",ML5,ML4,ML1,ML2,ML3
Dyspareunia,0,0.659,0,0,0
Menstrual_disorders,0,0.654,0,0,0
Anxiety_disorders,0,0.44,0,0,0
Thyroid_disorders,0,0.372,0,0,0
Nonmalignant_breast_conditions,0,0.369,0,0,0
Miscellaneous_mental_health_disorders,0,0.342,0,0,0
Obesity,0,0,0.957,0,0
Hypertension,0.401,0,0.383,0,0
Esophageal_disorders,0,0,0,0.999,0
Psoriasis_and_other_inflammatory,0,0,0,0,0.999
Allergic_rhinitis,0,0,0,0,0
Asthma,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0
Disorders_of_lipid_metabolism,0.338,0,0,0,0
Female_infertility,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.63,0,0,0,0
Other_acquired_deformities,0.358,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0.378,0,0,0,0
Urinary_incontinence,0.757,0,0,0,0
Vision_defects,0,0,0,0,0
