"",ML6,ML9,ML3,ML1,ML7,ML5,ML4,ML2,ML8
Asthma,0,0.503,0,0,0,0,0,0,0
Allergic_rhinitis,0,0.483,0,0,0,0,0,0,0
Female_infertility,0,0.404,0,0,0,0,0,0,0
Menstrual_disorders,0,0.379,0.341,0,0,0,0,0,0
Anxiety_disorders,0,0.339,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.301,0,0,0,0,0,0,0
Dyspareunia,0,0,0.995,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.313,0,0,0,0,0,0
Obesity,0,0,0,0.929,0,0,0,0,0
Hypertension,0,0,0,0.424,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.956,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,1.005,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0.31,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0.962,0,0
Vision_defects,0,0,0,0,0,0,0,0.968,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0.552
Atopic_dermatitis,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.429,0,0,0,0,0,0,0,0
Other_acquired_deformities,0.326,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.976,0,0,0,0,0,0,0,0
