"",ML11,ML6,ML9,ML8,ML7,ML12,ML3,ML2,ML4,ML1,ML5,ML10
Gout,0,1.006,0,0,0,0,0,0,0,0,0,0
Hypertension,0.314,0.34,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.945,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0.418,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.957,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0.32,0,0,0,0,0.3,0,0,0
Other_male_genital_disorders,0,0,0,0,0.974,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.531,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.419,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0.378,0,0,0,0,0,0
Cataract,0,0,0,0,0,0.365,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0.304,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0.99,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0.973,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,1.004,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0.931,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0.995,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0.622
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0.341
Obesity,0,0,0,0,0,0,0,0,0,0,0,0.336
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0.301
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.426,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.36,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.455,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.67,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0
