"",ML3,ML2,ML1,ML4
Hypertension,0,0.904,0,0
Obesity,0,0.581,0,0
Disorders_of_lipid_metabolism,0,0.536,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.404,0,0
Psoriasis_and_other_inflammatory,0,0,0.994,0
Atopic_dermatitis,0,0,0,0.643
Asthma,0,0,0,0.382
Vision_defects,0,0,0,0.305
Allergic_rhinitis,0.355,0,0,0
Anxiety_disorders,0.62,0,0,0
Depression_and_Mood_disorders,0.46,0,0,0
Headache__including_migraine,0.448,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0
Menstrual_disorders,0.633,0,0,0
Miscellaneous_mental_health_disorders,0.405,0,0,0
Thyroid_disorders,0.365,0,0,0
