"",ML4,ML10,ML8,ML1,ML7,ML5,ML9,ML2,ML6,ML3,ML11
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.96,0,0,0,0,0,0,0,0,0
Obesity,0,0.357,0,0,0,0.343,0,0,0,0,0.366
Hepatitis,0,0.31,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0.302,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.979,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0.392,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0.947,0,0,0,0,0,0,0
Adictions,0.335,0,0,0.329,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,1.017,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0.99,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0.41,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0.885,0,0,0,0
Miscellaneous_mental_health_disorders,0.322,0,0,0,0,0,0.35,0,0,0,0
Diseases_of_white_blood_cells,0,0,0,0,0,0,0,0.905,0,0,0
Asthma,0,0,0,0,0,0,0,0,0.922,0,0
Other_acquired_deformities,0,0,0,0,0,0,0,0,0.339,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0.974,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0.672
Hypertension,0,0,0,0,0,0,0,0,0,0,0.387
Alcohol-related_disorders,0.928,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0.369,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.436,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0
