"",ML12,ML10,ML4,ML8,ML2,ML7,ML5,ML11,ML1,ML3,ML9,ML6
Alcohol-related_disorders,0,0.891,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0,0.427,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0,0.365,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0.331,0.312,0,0,0,0,0,0,0,0,0
Adjustment_disorders,0,0,0.878,0,0,0,0,0,0,0,0,0
Other_acquired_deformities,0,0,0.37,0,0,0,0,0,0,0,0.315,0
Allergic_rhinitis,0,0,0.343,0,0,0,0,0,0,0,0,0
Adictions,0,0,0,0.925,0,0,0,0,0,0,0,0
Hepatitis,0,0,0,0.422,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.354,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0.919,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0.324,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,1.005,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0.972,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0.44,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0.891,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0.487,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0.925,0,0,0
Diseases_of_white_blood_cells,0,0,0,0,0,0,0,0,0,0.903,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0.94,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0.979
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.404,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.956,0,0,0,0,0,0,0,0,0,0,0
