"",ML13,ML10,ML11,ML6,ML1,ML5,ML12,ML7,ML9,ML2,ML4,ML8,ML3
Congestive_heart_failure__nonhypertensive,0,0.92,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.531,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.448,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.394,0.317,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.899,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.489,0,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0.311,0,0.386,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.984,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0.446,0,0,0,0,0,0,0,0,0
Hypertension,0.426,0,0,0.388,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0.902,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0.462,0,0.303,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0.937,0,0,0,0,0,0,0
Allergic_rhinitis,0.332,0,0,0,0,0.321,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0.307,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0.946,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0.383,0,0,0,0,0,0
Obesity,0.439,0,0,0,0,0,0.37,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0.962,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0.324,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0.959,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0,0,0,0,0.94,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0.949,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0.364,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0.937,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0.908
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.522,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0.442,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.376,0,0,0,0,0,0,0,0,0,0,0,0
Other_circulatory_disease,0,0,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.438,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.331,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.475,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0.318,0,0,0,0,0,0,0,0,0,0,0,0
