"",ML15,ML10,ML1,ML2,ML3,ML9,ML8,ML14,ML6,ML12,ML11,ML5,ML4,ML7,ML13
Congestive_heart_failure__nonhypertensive,0,0.917,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.424,0,0,0,0,0,0,0,0,0,0.327,0,0,0
Headache__including_migraine,0.317,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.451,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0.347,0,0.377,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.953,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0.301,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0.434,0,0,0,0,0,0,0,0,0
Hypertension,0.334,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0.936,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.316,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0.356,0,0,0,0,0.33,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0.317,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0.347,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0,0
Obesity,0.625,0,0,0,0,0,0,0,0,0,0,0,0.324,0,0
Obstructive_Sleep_apnea,0.398,0,0,0,0,0,0,0,0,0,0,0,0.311,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_circulatory_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
