"",ML16,ML14,ML15,ML2,ML3,ML10,ML12,ML11,ML7,ML8,ML1,ML5,ML6,ML13,ML4,ML9
Congestive_heart_failure__nonhypertensive,0,0.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.434,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.449,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.946,0,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0.306,0,0,0,0,0,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0.966,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0.334,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0,0,0.935,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0,0.427,0,0,0,0,0,0,0,0,0
Hypertension,0.342,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0.945,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0.975,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0.384,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0.933,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0.927,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.917,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_circulatory_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
