"",ML2,ML1
Adjustment_disorders,0,0.993
Miscellaneous_mental_health_disorders,0.448,0.34
Adictions,0.442,0
Alcohol-related_disorders,0.578,0
Allergic_rhinitis,0.305,0
Anxiety_disorders,0.679,0
Asthma,0.339,0
Atopic_dermatitis,0,0
Depression_and_Mood_disorders,0.532,0
Diseases_of_white_blood_cells,0,0
Disorders_of_lipid_metabolism,0,0
Esophageal_disorders,0.3,0
Headache__including_migraine,0.421,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.417,0
Hepatitis,0.323,0
Hypertension,0,0
Menstrual_disorders,0.581,0
Neuropathy_and_other_nervous_system_disorders,0,0
Obesity,0.529,0
Other_acquired_deformities,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0
Psoriasis_and_other_inflammatory,0,0
Thyroid_disorders,0.408,0
Urinary_incontinence,0.493,0
Vision_defects,0.339,0
