"",ML3,ML2,ML1
Hepatitis,0,0.828,0
Adictions,0,0.733,0
Depression_and_Mood_disorders,0,0.39,0.322
Anxiety_disorders,0.464,0.386,0
Alcohol-related_disorders,0.394,0.333,0
Neuropathy_and_other_nervous_system_disorders,0,0.333,0
Adjustment_disorders,0,0,1.013
Miscellaneous_mental_health_disorders,0.35,0,0.401
Allergic_rhinitis,0.469,0,0
Asthma,0.329,0,0
Atopic_dermatitis,0,0,0
Diseases_of_white_blood_cells,0,0,0
Disorders_of_lipid_metabolism,0,0,0
Esophageal_disorders,0.316,0,0
Headache__including_migraine,0.302,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.424,0,0
Hypertension,0,0,0
Menstrual_disorders,0.427,0,0
Obesity,0.575,0,0
Other_acquired_deformities,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0
Psoriasis_and_other_inflammatory,0,0,0
Thyroid_disorders,0.46,0,0
Urinary_incontinence,0.684,0,0
Vision_defects,0.391,0,0
