"",ML7,ML6,ML2,ML5,ML4,ML1,ML3
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.968,0,0,0,0,0
Obesity,0.347,0.386,0,0,0,0,0
Urinary_incontinence,0,0.346,0,0,0,0,0
Hepatitis,0,0,0.979,0,0,0,0
Adictions,0.302,0,0.528,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0.981,0,0,0
Anxiety_disorders,0,0,0,0.308,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.981,0,0
Atopic_dermatitis,0,0,0,0,0.334,0,0
Adjustment_disorders,0,0,0,0,0,0.912,0
Miscellaneous_mental_health_disorders,0.426,0,0,0,0,0.333,0
Diseases_of_white_blood_cells,0,0,0,0,0,0,0.956
Alcohol-related_disorders,0.57,0,0,0,0,0,0
Allergic_rhinitis,0.423,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0
Esophageal_disorders,0.382,0,0,0,0,0,0
Headache__including_migraine,0.35,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0
Menstrual_disorders,0.556,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Other_acquired_deformities,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0.322,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
