"",ML16,ML1,ML17,ML8,ML10,ML9,ML5,ML11,ML13,ML7,ML15,ML4,ML12,ML3,ML14,ML6,ML2
Cardiac_dysrhythmias,0,0.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0.35,0,0,0.329,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.335,0,0,0,0,0,0.386,0,0,0,0,0.348,0,0,0
Osteoarthritis,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.337,0,0.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,1.011,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0.876,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.397,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0.898,0,0,0,0,0,0,0,0,0
Diabetes,0.331,0,0,0,0,0,0,0.347,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0.904,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0,0.852,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0.558,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0.945,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
