"",ML6,ML1,ML3,ML2,ML4,ML5
Hepatitis,0,0.995,0,0,0,0
Adictions,0,0.37,0,0,0,0.68
Disorders_of_lipid_metabolism,0,0,0.979,0,0,0
Atopic_dermatitis,0,0,0.413,0,0,0
Obesity,0,0,0,0.966,0,0
Hypertension,0,0,0,0.385,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0.96,0
Depression_and_Mood_disorders,0.505,0,0,0,0,0.367
Allergic_rhinitis,0.382,0,0,0,0,0
Anxiety_disorders,0.496,0,0,0,0,0
Asthma,0,0,0,0,0,0
Headache__including_migraine,0.559,0,0,0,0,0
Menstrual_disorders,0.575,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.612,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
