"",ML6,ML1,ML7,ML3,ML2,ML4,ML5,ML8
Depression_and_Mood_disorders,0,1.017,0,0,0,0,0,0
Adictions,0.518,0.315,0,0,0,0,0,0.331
Obesity,0,0,0.978,0,0,0,0,0
Hypertension,0,0,0.328,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0.996,0,0,0,0
Asthma,0,0,0,0.315,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.31,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.963,0,0,0
Vision_defects,0,0,0,0,0,0.988,0,0
Atopic_dermatitis,0,0,0,0,0,0,0.97,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.418
Anxiety_disorders,0,0,0,0,0,0,0,0.394
Menstrual_disorders,0,0,0,0,0,0,0,0.33
Headache__including_migraine,0,0,0,0,0,0,0,0
Hepatitis,1.028,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0
