"",ML7,ML4,ML8,ML6,ML2,ML3,ML11,ML10,ML5,ML1,ML9
Hyperplasia_of_prostate,-0.119,0.978,0.028,-0.049,-0.024,-0.014,0.049,-0.011,-0.035,-0.014,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.346,0.309,-0.026,0.193,0.064,-0.01,0.018,-0.005,0.148,0.031,0.087
Osteoarthritis,0.253,0.297,0.05,0.045,0.198,0.137,0.074,0.054,0.041,0.014,0.012
Hypertension,0.182,0.229,0.47,-0.097,0.031,0.182,0.015,0.155,0.017,-0.058,0.079
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.259,0.214,0.066,0.129,-0.042,-0.074,0.117,0.013,0.035,0.071,0.118
Glaucoma,0.101,0.201,0.196,0.034,0.166,0.034,0.196,-0.029,0.015,0.088,-0.122
Disorders_of_lipid_metabolism,0.263,0.198,0.332,0.036,0.16,0.145,-0.164,0.045,0.068,0.009,0.166
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.115,0.167,0,0.116,0.164,0.037,0.312,0.082,0.049,0.029,0.104
Cataract,0.08,0.152,0.114,-0.167,0.18,0.08,0.493,0.136,0.011,-0.01,-0.01
Thyroid_disorders,0.107,0.137,0.102,0.304,0.217,0.015,-0.083,0.08,-0.025,-0.002,-0.031
Cardiac_dysrhythmias,0.055,0.128,0.117,0.173,0.072,0.12,0.334,-0.081,0.102,0.123,-0.062
Urinary_incontinence,0.142,0.118,0.126,0.121,0.071,0.127,0.375,0.082,0.05,-0.049,-0.06
Atopic_dermatitis,0.062,0.117,-0.079,0.263,0.085,0.032,-0.039,0.072,0.098,0.207,-0.325
Allergic_rhinitis,0.087,0.116,-0.131,0.367,0.013,0.13,-0.208,0.103,0.032,0.194,-0.061
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.005,0.107,0.061,0.054,0.088,0.15,0.332,-0.011,0.068,0.013,0.189
Neoplasms,-0.001,0.096,0.158,0.066,0.019,0.02,0.336,-0.173,-0.025,-0.035,0.097
Ischemic_heart_disease,-0.051,0.094,0.372,-0.079,0.043,0.016,0.198,0.013,0.03,-0.043,0.14
Psoriasis_and_other_inflammatory,0.059,0.088,0.188,0.22,-0.012,0.087,-0.135,-0.038,0.096,-0.06,0.126
Esophageal_disorders,0.103,0.071,0.027,0.196,0.124,0.036,-0.042,0.137,0.184,0.038,0.032
Anxiety_disorders,0.186,0.071,-0.145,0.412,0.091,0.022,-0.032,0.169,0.107,0.062,0.17
Obesity,0.116,0.07,0.476,0.186,-0.011,0.085,-0.141,0.074,0.095,0.015,0.002
Vision_defects,0.272,0.068,-0.077,0.202,-0.073,0.07,0.136,0.105,0.129,0.03,0.07
Asthma,0.067,0.049,-0.098,0.258,0.093,-0.014,-0.02,0.086,0.062,0.12,-0.087
Neuropathy_and_other_nervous_system_disorders,0.196,0.047,-0.008,0.23,0.121,0.04,0.015,0.172,0.085,0.012,0.099
Headache__including_migraine,0.053,0.022,0.006,0.174,0.022,-0.089,-0.033,0.467,0.061,0.034,0.067
Depression_and_Mood_disorders,0.259,0.01,-0.026,0.31,0.126,-0.029,0.133,0.07,0.121,0.008,0.244
Sexual_disorders,-0.149,-0.009,0.089,-0.088,-0.02,0.031,-0.042,0.113,0.095,-0.022,0.668
Alcohol-related_disorders,0.055,-0.01,-0.057,0.093,-0.009,0.039,0.095,-0.176,-0.142,0.2,0.531
Miscellaneous_mental_health_disorders,-0.012,-0.023,-0.026,-0.015,-0.014,-0.003,0.033,0.788,-0.029,0.081,0.001
Diabetes,-0.023,-0.025,0.752,0.029,0.011,0.044,0.119,-0.056,0.055,0.157,0.022
Inflammatory_conditions_of_male_genital_organs,-0.042,-0.032,0.055,-0.036,-0.017,-0.02,-0.002,0.046,0.005,0.983,0.008
Osteoporosis,-0.029,-0.041,-0.011,-0.019,1.027,-0.022,0.002,-0.013,-0.025,-0.014,-0.011
Gout,-0.041,-0.048,0.001,-0.01,-0.022,1.019,0.007,-0.009,-0.028,-0.021,-0.006
Other_male_genital_disorders,-0.056,-0.054,0.023,-0.03,-0.028,-0.026,0.008,-0.007,0.999,-0.001,-0.007
Menopausal_disorders,0.902,-0.159,0.036,-0.037,0.047,-0.056,0.032,0.033,-0.109,-0.072,-0.06
Menstrual_disorders,-0.046,-0.208,0.12,0.702,-0.034,-0.106,0.014,0.184,-0.209,-0.228,-0.083
