"",ML7,ML5,ML4,ML3,ML1,ML6,ML2
Diabetes,0.191,0.692,0.037,-0.061,-0.056,-0.036,0.189
Hypertension,0.057,0.637,-0.035,0.2,0.196,0.068,-0.038
Obesity,-0.147,0.557,0.21,0.133,0.071,0.103,0.055
Gout,0.064,0.52,-0.192,-0.113,-0.005,0.088,-0.1
Disorders_of_lipid_metabolism,0.009,0.414,0,0.308,0.188,0.184,0.023
Ischemic_heart_disease,0.262,0.382,-0.052,-0.095,0.042,0.094,-0.046
Psoriasis_and_other_inflammatory,-0.13,0.264,0.149,0.042,0.101,0.175,-0.049
Cardiac_dysrhythmias,0.376,0.204,0.084,-0.037,0.114,-0.073,0.149
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.4,0.185,-0.007,-0.095,0.08,0.145,0.002
Urinary_incontinence,0.436,0.18,0.157,0.065,0.104,-0.01,-0.018
Sexual_disorders,0.014,0.178,-0.093,-0.209,-0.044,0.6,-0.059
Neoplasms,0.377,0.176,-0.02,-0.109,0.057,-0.057,-0.06
Glaucoma,0.371,0.15,0.027,0.081,0.165,-0.13,0.111
Osteoarthritis,0.248,0.113,0.019,0.263,0.278,0.097,0.015
Cataract,0.683,0.103,-0.074,0.015,0.089,-0.021,0.007
Alcohol-related_disorders,0.065,0.082,-0.071,-0.007,-0.008,0.231,0.1
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.094,0.06,0.109,0.203,0.213,0.095,0.088
Vision_defects,0.037,0.055,0.186,0.208,0.099,0.14,0.074
Menopausal_disorders,0.063,0.052,0,0.938,-0.152,-0.078,-0.074
Other_male_genital_disorders,0.014,0.051,-0.232,-0.205,-0.072,0.518,0.206
Thyroid_disorders,0.121,0.037,0.351,0.157,0.146,0.042,0.023
Hyperplasia_of_prostate,0.056,0.036,-0.094,-0.141,0.936,-0.036,-0.027
Esophageal_disorders,0.066,0.035,0.217,0.108,0.079,0.227,0.091
Menstrual_disorders,-0.009,0.031,0.92,-0.051,-0.155,-0.112,-0.178
Inflammatory_conditions_of_male_genital_organs,-0.001,0.028,-0.069,-0.048,-0.033,-0.01,0.981
Neuropathy_and_other_nervous_system_disorders,0.129,0.004,0.286,0.193,0.056,0.248,0.043
Miscellaneous_mental_health_disorders,0.017,-0.005,0.45,0.074,0.012,0.121,0.212
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.449,-0.006,0.134,0.064,0.152,0.129,0.044
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.107,-0.015,0.115,0.297,0.302,0.199,0.056
Headache__including_migraine,-0.024,-0.029,0.437,0.102,0.055,0.197,0.134
Allergic_rhinitis,-0.211,-0.034,0.35,0.109,0.163,0.093,0.214
Depression_and_Mood_disorders,0.25,-0.036,0.297,0.202,0.017,0.324,0.031
Anxiety_disorders,0.012,-0.082,0.427,0.181,0.118,0.271,0.11
Atopic_dermatitis,-0.002,-0.116,0.275,0.09,0.147,-0.091,0.261
Asthma,0.039,-0.12,0.283,0.076,0.061,0.089,0.143
Osteoporosis,0.554,-0.151,-0.037,0.325,-0.015,0.074,-0.045
